ZipCode,City,County
55424,St. Louis Park,Hennepin County
55425,Bloomington,Hennepin County
55425,Minneapolis,Hennepin County
55426,Golden Valley,Hennepin County
55426,Minneapolis,Hennepin County
55426,St. Louis Park,Hennepin County
55427,Crystal,Hennepin County
55427,Golden Valley,Hennepin County
55427,Minneapolis,Hennepin County
55427,New Hope,Hennepin County
55428,Brooklyn Center,Hennepin County
55428,Brooklyn Park,Hennepin County
55428,Crystal,Hennepin County
55428,Minneapolis,Hennepin County
55428,New Hope,Hennepin County
55429,Brooklyn Center,Hennepin County
55429,Brooklyn Park,Hennepin County
55429,Crystal,Hennepin County
55429,Minneapolis,Hennepin County
55430,Brooklyn Center,Hennepin County
55430,Minneapolis,Hennepin County
55431,Bloomington,Hennepin County
55431,Minneapolis,Hennepin County
55435,Bloomington,Hennepin County
55435,Edina,Hennepin County
55435,Minneapolis,Hennepin County
55436,Edina,Hennepin County
55436,Minneapolis,Hennepin County
55436,St. Louis Park,Hennepin County
55437,Bloomington,Hennepin County
55437,Minneapolis,Hennepin County
55438,Bloomington,Hennepin County
55438,Minneapolis,Hennepin County
55439,Edina,Hennepin County
55439,Minneapolis,Hennepin County
55440,Minneapolis,Hennepin County
55441,Medicine Lake,Hennepin County
55441,Minneapolis,Hennepin County
55441,Plymouth,Hennepin County
55442,Minneapolis,Hennepin County
55442,Plymouth,Hennepin County
55443,Brooklyn Center,Hennepin County
55443,Brooklyn Park,Hennepin County
55443,Minneapolis,Hennepin County
55444,Brooklyn Center,Hennepin County
55444,Brooklyn Park,Hennepin County
55444,Minneapolis,Hennepin County
55445,Brooklyn Park,Hennepin County
55445,Minneapolis,Hennepin County
55446,Minneapolis,Hennepin County
55446,Plymouth,Hennepin County
55447,Minneapolis,Hennepin County
55447,Plymouth,Hennepin County
55450,Minneapolis,Hennepin County
55454,Minneapolis,Hennepin County
55455,Minneapolis,Hennepin County
55458,Minneapolis,Hennepin County
55459,Minneapolis,Hennepin County
55460,Minneapolis,Hennepin County
55470,Minneapolis,Hennepin County
55480,Minneapolis,Hennepin County
55569,Maple Grove,Hennepin County
55569,Osseo,Hennepin County
55570,Maple Plain,Hennepin County
55571,Maple Plain,Hennepin County
55572,Maple Plain,Hennepin County
55573,Young America,Hennepin County
55574,Maple Plain,Hennepin County
55575,Howard Lake,Hennepin County
55576,Maple Plain,Hennepin County
55577,Maple Plain,Hennepin County
55578,Maple Plain,Hennepin County
55579,Maple Plain,Hennepin County
55593,Maple Plain,Hennepin County
55595,Loretto,Hennepin County
55596,Loretto,Hennepin County
55597,Loretto,Hennepin County
55598,Loretto,Hennepin County
55599,Loretto,Hennepin County
55101,St. Paul,Ramsey County
55102,St. Paul,Ramsey County
55103,St. Paul,Ramsey County
55104,St. Paul,Ramsey County
55105,St. Paul,Ramsey County
55106,St. Paul,Ramsey County
55107,West Saint Paul,Ramsey County
55107,St. Paul,Ramsey County
55108,Falcon Heights,Ramsey County
55108,Lauderdale,Ramsey County
55108,St. Paul,Ramsey County
55109,North Saint Paul,Ramsey County
55109,Maplewood,Ramsey County
55109,St. Paul,Ramsey County
55110,Dellwood,Ramsey County
55110,St. Paul,Ramsey County
55110,White Bear Lake,Ramsey County
55112,Arden Hills,Ramsey County
55112,Mounds View,Ramsey County
55112,New Brighton,Ramsey County
55112,St. Paul,Ramsey County
55113,Falcon Heights,Ramsey County
55113,Lauderdale,Ramsey County
55113,Roseville,Ramsey County
55113,St. Paul,Ramsey County
55114,St. Paul,Ramsey County
55116,St. Paul,Ramsey County
55117,Little Canada,Ramsey County
55117,Maplewood,Ramsey County
55117,St. Paul,Ramsey County
55119,Maplewood,Ramsey County
55119,St. Paul,Ramsey County
55126,No Oaks,Ramsey County
55126,Roseville,Ramsey County
55126,St. Paul,Ramsey County
55126,Shoreview,Ramsey County
55127,North Oaks,Ramsey County
55127,St. Paul,Ramsey County
55127,Vadnais Heights,Ramsey County
55164,St. Paul,Ramsey County
55165,St. Paul,Ramsey County
55166,St. Paul,Ramsey County
55172,St. Paul,Ramsey County
55175,St. Paul,Ramsey County
55020,Elko,Scott County
55054,New Market,Scott County
55352,Jordan,Scott County
55372,Prior Lake,Scott County
55378,Savage,Scott County
55379,Shakopee,Scott County
56011,Belle Plaine,Scott County
56071,Heidelberg,Scott County
56071,New Prague,Scott County
55001,Afton,Washington County
55003,Bayport,Washington County
55016,Cottage Grove,Washington County
55025,Forest Lake,Washington County
55038,Centerville,Washington County
55038,Hugo,Washington County
55038,Lino Lakes,Washington County
55042,Lake Elmo,Washington County
55043,Lakeland,Washington County
55047,Marine On Saint Croix,Washington County
55047,Marine St Crx,Washington County
55055,Newport,Washington County
55071,St. Paul Park,Washington County
55073,Scandia,Washington County
55078,Stacy,Washington County
55082,Oak Park Heights,Washington County
55082,Stillwater,Washington County
55082,West Lakeland,Washington County
55083,Stillwater,Washington County
55090,Willernie,Washington County
55115,Mahtomedi,Washington County
55115,Pine Springs,Washington County
55115,St. Paul Park,Washington County
55115,White Bear Lake,Washington County
55125,St. Paul Park,Washington County
55125,Woodbury,Washington County
55128,Landfall Village,Washington County
55128,Oakdale,Washington County
55128,Pine Springs,Washington County
55128,St. Paul Park,Washington County
55129,St. Paul Park,Washington County
55129,Woodbury,Washington County
